household_weight,people_in_household,adults_in_household,children_in_household,baseline_household_net_income_bhc,baseline_equiv_household_net_income_bhc,baseline_household_net_income_ahc,baseline_equiv_household_net_income_ahc,baseline_in_poverty_bhc,baseline_in_poverty_ahc,reform_1_household_net_income_bhc,reform_1_equiv_household_net_income_bhc,reform_1_household_net_income_ahc,reform_1_equiv_household_net_income_ahc,reform_1_in_poverty_bhc,reform_1_in_poverty_ahc,reform_2_household_net_income_bhc,reform_2_equiv_household_net_income_bhc,reform_2_household_net_income_ahc,reform_2_equiv_household_net_income_ahc,reform_2_in_poverty_bhc,reform_2_in_poverty_ahc,reform_3_household_net_income_bhc,reform_3_equiv_household_net_income_bhc,reform_3_household_net_income_ahc,reform_3_equiv_household_net_income_ahc,reform_3_in_poverty_bhc,reform_3_in_poverty_ahc,reform_4_household_net_income_bhc,reform_4_equiv_household_net_income_bhc,reform_4_household_net_income_ahc,reform_4_equiv_household_net_income_ahc,reform_4_in_poverty_bhc,reform_4_in_poverty_ahc
1784.0,3,2,1,875.02844,729.19037,752.02844,626.69037,0,0,891.63153,743.02625,768.63153,640.52625,0,0,758.8316,632.3596,635.8316,529.8596,0,0,887.83154,739.8596,764.83154,637.3596,0,0,844.88153,704.06793,721.88153,601.56793,0,0
1439.0,3,2,1,273.09384,178.4927,183.09384,119.66918,1,1,350.65692,229.18753,260.65692,170.364,1,1,429.40692,280.6581,339.40692,221.8346,0,1,442.91003,289.48367,352.91003,230.66016,0,1,243.15692,158.9261,153.15692,100.10256,1,1
2009.0,1,1,0,461.0369,688.11475,386.0369,576.17444,0,0,456.0,680.597,381.0,568.6567,0,0,352.25,525.7463,277.25,413.80597,0,0,395.25,589.92535,320.25,477.98508,0,0,437.25,652.61194,362.25,540.67163,0,0
1494.0,4,2,2,1229.4447,878.1748,1192.4447,851.7462,0,0,1238.6708,884.76483,1201.6708,858.3363,0,0,1162.1901,830.1358,1125.1901,803.7072,0,0,1334.1901,952.9929,1297.1901,926.56433,0,0,1157.1901,826.56433,1120.1901,800.1358,0,0
352.0,2,2,0,657.8,657.8,657.8,657.8,0,0,688.43994,688.43994,688.43994,688.43994,0,0,948.80005,948.80005,948.80005,948.80005,0,0,664.8,664.8,664.8,664.8,0,0,534.25244,534.25244,534.25244,534.25244,0,0
1036.0,1,1,0,82.65385,123.363945,76.65385,114.40872,1,1,108.65385,162.16992,102.65385,153.21469,1,1,305.85883,456.5057,299.85883,447.55048,0,0,163.85886,244.56544,157.85886,235.61023,1,1,39.903847,59.55798,33.903847,50.602757,1,1
1392.0,2,2,0,273.0,273.0,187.0,187.0,0,1,403.0,403.0,317.0,317.0,0,0,483.0,483.0,397.0,397.0,0,0,569.0,569.0,483.0,483.0,0,0,653.0,653.0,567.0,567.0,0,0
2619.0,2,2,0,717.39386,717.39386,625.39386,625.39386,0,0,707.32,707.32,615.32,615.32,0,0,575.07,575.07,483.07,483.07,0,0,661.07,661.07,569.07,569.07,0,0,745.07,745.07,653.07,653.07,0,0
1282.0,2,1,1,14.483845,16.648098,-138.51616,-159.21397,1,1,101.48384,116.648094,-51.51616,-59.213974,1,1,203.43384,233.832,50.433846,57.969936,1,1,224.53,258.08044,71.53,82.21839,0,1,204.48384,235.0389,51.48384,59.176826,1,1
1181.0,2,2,0,544.6738,544.6738,530.6738,530.6738,0,0,534.6,534.6,520.6,520.6,0,0,465.84998,465.84998,451.84998,451.84998,0,0,551.85,551.85,537.85,537.85,0,0,635.85,635.85,621.85,621.85,0,0
1399.0,4,2,2,743.1539,530.8242,653.1539,466.53848,0,0,845.0169,603.5835,755.0169,539.2978,0,0,814.55927,581.82806,724.55927,517.54236,0,0,986.55927,704.6852,896.55927,640.3995,0,0,809.55927,578.25665,719.55927,513.9709,0,0
